,bond_id,bond_nm,increase_rt,price,sincrease_rt,premium_rt,adj_scnt,ytm_rt,rating_cd,year_left,curr_iss_amt,convert_cd,sum
2,128060,中装转债,0.00%,105.03,0.64,4.36,0,1.31,AA,5.945,5.250,未到转股期,90.61
24,128018,时达转债,0.38%,105.999,0.42,9.83,1,1.0,AA,4.559,8.823,128018,84.171
18,113016,小康转债,0.75%,106.42,2.42,8.12,1,0.91,AA,4.559,8.814,191016,85.46
16,127003,海印转债,0.29%,107.5,0.33,6.8,2,2.01,AA,3.145,11.108,127003,85.7
11,113524,奇精转债,-0.34%,107.91,0.13,5.27,0,1.67,AA,5.666,3.300,未到转股期,86.82000000000001
26,113017,吉视转债,0.68%,108.19,1.71,7.82,0,0.42,AA+,4.699,15.594,191017,83.99000000000001
22,128050,钧达转债,0.11%,108.505,0.59,6.49,0,2.46,AA-,5.655,3.200,未到转股期,85.00500000000001
19,128033,迪龙转债,-0.51%,108.541,-0.86,6.07,1,0.35,AA,4.699,5.199,128033,85.38900000000001
1,123024,岱勒转债,8.91%,108.906,2.83,-0.42,0,0.83,A+,4.932,2.100,未到转股期,91.514
0,123023,迪森转债,-0.27%,109.08,-1.68,-1.33,0,0.96,AA,5.929,6.000,未到转股期,92.25
27,113505,杭电转债,0.14%,109.4,-0.54,7.34,0,0.64,AA,4.888,7.799,191505,83.25999999999999
8,123011,德尔转债,1.31%,109.42,1.28,3.05,0,1.41,AA-,5.258,5.556,123011,87.53
20,113528,长城转债,-0.19%,109.46,-0.28,5.24,0,1.33,AA-,5.877,6.340,未到转股期,85.30000000000001
3,113514,威帝转债,0.72%,109.79,2.07,1.24,0,0.37,A+,4.26,1.999,191514,88.97
17,128044,岭南转债,0.44%,110.48,-0.21,3.87,1,0.28,AA,5.332,6.594,128044,85.64999999999999
6,128056,今飞转债,2.21%,110.597,3.19,1.22,0,1.67,A+,5.874,3.680,未到转股期,88.183
13,123019,中来转债,1.61%,110.65,3.58,2.65,0,2.13,AA-,5.866,10.000,未到转股期,86.69999999999999
23,128025,特一转债,-0.26%,112.61,-1.23,2.94,1,-0.45,AA-,4.641,3.394,128025,84.45
TOTAL,,,,108.8048888888889,,4.475555555555555,,,,,,,
