,bond_id,bond_nm,increase_rt,price,sincrease_rt,premium_rt,adj_scnt,ytm_rt,rating_cd,year_left,curr_iss_amt,convert_cd,sum
20,110052,贵广转债,-0.14%,123.47,2.61,-12.1,0,-0.64,AA+,5.866,16.000,未到转股期,88.63
0,128063,未来转债,-8.74%,111.7,-7.43,-8.85,0,2.47,AA-,5.945,6.300,未到转股期,97.14999999999999
3,123018,溢利转债,-2.42%,112.202,-2.54,-5.35,0,0.49,AA-,5.66,6.650,未到转股期,93.148
18,128053,尚荣转债,-2.70%,115.0,-6.02,-4.2,0,0.05,AA,5.814,7.500,未到转股期,89.2
2,113527,维格转债,-2.42%,109.45,-2.19,-3.4,0,1.75,AA,5.753,7.460,未到转股期,93.95
5,110047,山鹰转债,-2.52%,109.77,-4.37,-1.45,0,1.41,AA+,5.581,23.000,未到转股期,91.68
4,113521,科森转债,-5.46%,107.93,-8.19,-0.93,0,1.28,AA,5.567,6.100,未到转股期,93.0
25,127007,湖广转债,-1.99%,113.0,-1.32,-0.45,1,0.1,AA+,5.181,13.406,127007,87.45
6,113526,联泰转债,-2.88%,108.32,-3.75,0.03,0,0.45,AA,5.751,3.900,未到转股期,91.65
1,128062,亚药转债,-1.16%,105.57,-3.37,0.05,0,2.23,AA,5.942,9.650,未到转股期,94.38000000000001
10,128057,博彦转债,-2.51%,108.6,-1.93,0.16,0,1.4,AA-,5.866,5.758,未到转股期,91.24000000000001
22,128021,兄弟转债,-0.78%,111.999,1.02,0.37,1,-0.34,AA,4.597,5.122,128021,87.631
12,128049,华源转债,-2.60%,108.401,-4.78,0.57,0,1.2,AA-,5.597,4.000,未到转股期,91.02900000000001
17,113519,长久转债,-4.51%,110.12,-5.27,0.64,0,1.69,AA,5.542,7.000,未到转股期,89.24
27,128034,江银转债,-1.49%,111.41,-3.2,1.44,2,-0.35,AA+,4.759,17.584,128034,87.15
29,128048,张行转债,-1.93%,111.5,-3.06,1.6,0,0.46,AA+,5.556,25.000,未到转股期,86.9
26,123004,铁汉转债,-3.82%,110.502,-6.1,2.3,1,-0.04,AA,4.652,8.333,123004,87.19800000000001
21,123011,德尔转债,1.02%,109.303,1.83,2.45,0,1.44,AA-,5.236,5.556,123011,88.247
TOTAL,,,,111.01372222222221,,-1.5066666666666666,,,,,,,
