,bond_id,bond_nm,increase_rt,price,sincrease_rt,premium_rt,adj_scnt,ytm_rt,rating_cd,year_left,curr_iss_amt,convert_cd,sum
2,113524,奇精转债,-0.51%,106.14,3.36,-0.28,0,1.98,AA,5.641,3.300,未到转股期,94.14
8,123011,德尔转债,-3.30%,105.7,-3.73,2.9,0,2.11,AA-,5.233,5.556,123011,91.39999999999999
9,128060,中装转债,-0.62%,101.4,-1.34,7.24,0,1.93,AA,5.921,5.250,未到转股期,91.36
10,123023,迪森转债,-1.13%,104.51,-0.94,4.51,0,1.71,AA,5.904,6.000,未到转股期,90.97999999999999
12,128056,今飞转债,-0.10%,103.42,-0.75,5.91,0,2.87,A+,5.849,3.680,未到转股期,90.67
15,128062,亚药转债,-0.56%,104.98,-5.29,5.04,0,2.33,AA,5.94,9.650,未到转股期,89.97999999999999
19,123024,岱勒转债,-1.49%,102.75,0.21,7.77,0,2.06,A+,4.907,2.100,未到转股期,89.48
20,113514,威帝转债,-2.17%,103.85,-2.54,6.73,0,1.72,A+,4.236,1.999,191514,89.42
24,128044,岭南转债,-0.16%,103.86,-1.81,7.46,1,1.48,AA,5.307,6.594,128044,88.68
25,128033,迪龙转债,-0.84%,101.49,-0.6,9.89,1,1.83,AA,4.674,5.199,128033,88.62
30,123010,博世转债,-1.24%,102.25,-3.5,9.93,1,2.04,AA-,5.197,4.298,123010,87.82
34,113505,杭电转债,-0.10%,104.89,0.28,8.0,0,1.53,AA,4.863,7.767,191505,87.11
36,123019,中来转债,-1.33%,102.225,0.37,11.04,0,3.57,AA-,5.841,10.000,未到转股期,86.73500000000001
37,128050,钧达转债,-2.07%,102.2,-8.3,11.09,0,3.59,AA-,5.63,3.200,未到转股期,86.71
38,128018,时达转债,-0.53%,100.22,0.15,13.13,1,2.28,AA,4.534,8.823,128018,86.65
41,113016,小康转债,-1.31%,99.96,-2.83,13.94,1,2.34,AA,4.534,8.814,191016,86.10000000000001
52,113528,长城转债,0.02%,103.89,-5.13,12.3,0,2.27,AA-,5.852,6.340,未到转股期,83.81
61,127003,海印转债,-1.61%,104.0,-2.46,13.35,2,3.14,AA,3.121,11.108,127003,82.65
TOTAL,,,,103.20750000000001,-1.9361111111111111,8.330555555555556,,2.2655555555555558,,,,,
