,bond_id,bond_nm,increase_rt,price,sincrease_rt,premium_rt,adj_scnt,ytm_rt,rating_cd,year_left,curr_iss_amt,convert_cd,sum
0,128062,亚药转债,2.14%,106.021,8.98,-5.05,0,2.16,AA,5.929,9.650,未到转股期,99.029
1,128057,博彦转债,-0.25%,106.137,-0.51,-2.92,0,1.8,AA-,5.852,5.758,未到转股期,96.783
2,123018,溢利转债,0.24%,107.05,-0.21,-3.3,0,1.35,AA-,5.647,6.650,未到转股期,96.25
3,113524,奇精转债,-1.78%,105.11,-3.3,-0.16,0,2.16,AA,5.63,3.300,未到转股期,95.05
4,128053,尚荣转债,0.24%,113.77,1.51,-7.41,0,0.23,AA,5.8,7.500,未到转股期,93.64
5,123023,迪森转债,2.10%,102.3,1.84,4.86,0,2.09,AA,5.893,6.000,未到转股期,92.84
6,128049,华源转债,1.13%,106.888,3.47,0.52,0,1.46,AA-,5.584,4.000,未到转股期,92.592
7,128063,未来转债,-0.38%,103.6,-1.8,3.84,0,3.82,AA-,5.932,6.300,未到转股期,92.56
8,123004,铁汉转债,-0.38%,104.9,1.75,2.58,1,1.11,AA,4.638,8.332,123004,92.52
9,113526,联泰转债,2.16%,111.6,4.92,-3.86,0,-0.08,AA,5.737,3.900,未到转股期,92.26
10,113521,科森转债,0.93%,108.14,1.57,-0.22,0,1.25,AA,5.553,6.100,未到转股期,92.08
11,123020,富祥转债,-0.22%,111.3,1.12,-3.18,0,1.49,AA-,5.841,4.200,未到转股期,91.88000000000001
12,113527,维格转债,0.18%,101.68,-6.46,7.2,0,3.1,AA,5.74,7.460,未到转股期,91.11999999999999
13,113514,威帝转债,0.51%,102.49,2.89,6.45,0,2.04,A+,4.225,1.999,191514,91.06
14,123011,德尔转债,0.44%,103.15,0.35,6.07,0,2.6,AA-,5.222,5.556,123011,90.78
15,123013,横河转债,2.91%,110.702,2.68,-1.05,0,1.0,A+,5.244,0.385,123013,90.348
16,127007,湖广转债,1.03%,109.1,0.82,0.82,1,0.8,AA+,5.167,13.278,127007,90.08000000000001
17,128060,中装转债,0.32%,100.821,2.86,9.41,0,2.03,AA,5.91,5.250,未到转股期,89.769
18,128055,长青转2,0.65%,116.35,2.03,-5.58,0,-0.13,AA,5.836,9.138,未到转股期,89.23
19,113532,海环转债,0.52%,101.51,3.43,9.36,0,1.91,AA,5.926,4.600,未到转股期,89.13
20,128039,三力转债,-0.49%,109.46,0.96,1.79,1,0.21,AA-,5.11,3.932,128039,88.75
21,128025,特一转债,1.52%,108.986,2.24,2.3,1,0.27,AA-,4.605,3.394,128025,88.714
