,bond_id,bond_nm,increase_rt,price,sincrease_rt,premium_rt,adj_scnt,ytm_rt,rating_cd,year_left,curr_iss_amt,convert_cd,sum
0,123018,溢利转债,2.30%,105.483,4.69,-3.05,0,1.63,AA-,5.627,6.650,未到转股期,97.567
1,128053,尚荣转债,0.39%,105.41,-2.38,-2.3,0,1.59,AA,5.781,7.500,未到转股期,96.89
2,128062,亚药转债,5.81%,107.512,10.01,-2.75,0,1.92,AA,5.91,9.650,未到转股期,95.238
3,113526,联泰转债,0.01%,106.71,0.99,-1.08,0,0.72,AA,5.718,3.900,未到转股期,94.37
4,128050,钧达转债,2.08%,102.0,10.01,4.5,0,3.65,AA-,5.6,3.200,未到转股期,93.5
5,128049,华源转债,0.90%,101.894,1.52,4.8,0,2.36,AA-,5.564,4.000,未到转股期,93.306
6,128057,博彦转债,2.08%,103.5,1.61,3.39,0,2.26,AA-,5.833,5.758,未到转股期,93.11
7,123013,横河转债,0.33%,105.488,2.02,1.75,0,1.97,A+,5.225,0.383,123013,92.762
8,128064,司尔转债,-0.61%,99.39,2.87,8.41,0,2.59,AA,5.926,8.000,未到转股期,92.2
9,113514,威帝转债,0.36%,99.21,3.07,9.17,0,2.86,A+,4.205,1.999,191514,91.62
10,113521,科森转债,-0.50%,102.48,-0.92,6.03,0,2.27,AA,5.534,6.100,未到转股期,91.49
11,127007,湖广转债,0.85%,105.49,1.0,3.79,1,1.48,AA+,5.148,13.278,127007,90.72
12,110047,山鹰转债,0.54%,105.49,0.59,3.93,0,2.16,AA+,5.548,23.000,未到转股期,90.58
13,123004,铁汉转债,0.04%,100.398,0.0,9.15,1,2.1,AA,4.619,8.332,123004,90.452
14,128055,长青转2,1.70%,113.8,2.19,-4.1,0,0.26,AA,5.816,9.138,未到转股期,90.3
15,113527,维格转债,-0.49%,99.49,2.43,10.25,0,3.51,AA,5.721,7.460,未到转股期,90.26
16,123012,万顺转债,1.75%,109.475,3.82,0.33,0,0.33,AA-,5.208,1.703,123012,90.19500000000001
17,113025,明泰转债,-3.06%,96.94,-0.1,12.97,0,3.06,AA,5.929,18.390,未到转股期,90.09
18,123020,富祥转债,1.29%,107.805,-0.05,2.63,0,2.06,AA-,5.822,4.200,未到转股期,89.565
19,113524,奇精转债,-0.36%,99.52,-5.58,11.2,0,3.19,AA,5.611,3.300,未到转股期,89.28
20,113515,高能转债,-0.37%,109.59,1.2,1.17,0,0.65,AA,5.225,7.447,191515,89.24
21,127009,冰轮转债,0.77%,126.28,0.98,-15.3,0,-1.61,AA,5.696,5.091,未到转股期,89.02
22,128034,江银转债,0.53%,109.28,1.01,1.88,2,0.06,AA+,4.726,17.583,128034,88.84
23,128060,中装转债,0.79%,97.2,1.53,14.22,0,2.69,AA,5.89,5.250,未到转股期,88.58
24,110052,贵广转债,0.08%,107.29,1.58,4.22,0,1.83,AA+,5.833,16.000,未到转股期,88.49
25,123014,凯发转债,0.17%,100.701,0.0,11.21,0,2.03,A+,4.225,3.150,123014,88.089
26,128025,特一转债,0.92%,107.425,1.67,4.98,1,0.59,AA-,4.586,3.394,128025,87.595
27,128063,未来转债,1.11%,101.513,1.66,11.19,0,4.2,AA-,5.912,6.300,未到转股期,87.297
28,123011,德尔转债,0.20%,99.3,-0.07,13.52,0,3.38,AA-,5.203,5.556,123011,87.18
29,128033,迪龙转债,-0.48%,98.03,0.0,14.82,1,2.62,AA,4.644,5.199,128033,87.15
30,123019,中来转债,0.60%,99.77,4.83,13.13,0,4.03,AA-,5.811,10.000,未到转股期,87.10000000000001
31,113523,伟明转债,0.78%,107.49,-2.48,5.47,0,1.28,AA,5.6,6.700,未到转股期,87.04
32,123023,迪森转债,-0.16%,99.759,0.31,13.25,0,2.54,AA,5.874,6.000,未到转股期,86.991
33,128056,今飞转债,0.22%,99.318,1.71,13.7,0,3.62,A+,5.819,3.680,未到转股期,86.982
34,128039,三力转债,5.33%,109.989,6.31,3.1,1,0.11,AA-,5.09,3.932,128039,86.911
35,123002,国祯转债,-2.28%,113.402,-0.7,0.29,1,-0.62,AA,4.553,5.066,123002,86.30799999999999
36,123001,蓝标转债,0.37%,108.401,1.61,5.47,3,1.03,AA,2.619,1.890,123001,86.129
37,113528,长城转债,0.20%,98.3,2.19,15.72,0,3.28,AA-,5.822,6.340,未到转股期,85.98
38,110046,圆通转债,-0.87%,111.9,-4.18,2.15,0,0.6,AA+,5.542,36.500,未到转股期,85.94999999999999
39,123007,道氏转债,0.44%,107.27,2.57,7.35,1,0.95,AA-,4.647,3.042,123007,85.38000000000001
40,123016,洲明转债,-2.23%,117.32,-3.07,-2.4,0,-0.24,AA-,5.51,5.480,未到转股期,85.08000000000001
41,128058,拓邦转债,1.23%,110.561,3.29,4.63,0,1.89,AA,5.838,5.730,未到转股期,84.809
42,113519,长久转债,-0.36%,105.62,-0.52,9.64,0,2.49,AA,5.51,7.000,未到转股期,84.74
43,110050,佳都转债,1.05%,121.44,0.39,-6.17,0,-1.09,AA,5.622,8.747,未到转股期,84.73
44,123009,星源转债,2.04%,105.75,0.68,9.65,0,0.89,AA,4.838,4.798,123009,84.6
45,128044,岭南转债,-0.10%,99.902,2.11,15.65,1,2.25,AA,5.277,6.594,128044,84.448
46,113016,小康转债,0.69%,95.66,0.59,20.28,1,3.39,AA,4.504,8.814,191016,84.06
47,123015,蓝盾转债,0.72%,111.41,-1.43,4.75,1,0.33,AA,5.274,1.010,123015,83.84
48,113516,苏农转债,0.76%,112.36,1.48,4.0,0,0.56,AA+,5.241,12.907,191516,83.64
49,127003,海印转债,-0.67%,99.53,1.57,16.89,2,4.69,AA,3.09,11.108,127003,83.58
50,128018,时达转债,0.21%,96.991,0.67,20.23,1,3.06,AA,4.504,8.823,128018,82.779
51,128048,张行转债,1.19%,111.51,-0.47,5.92,0,0.46,AA+,5.523,25.000,未到转股期,82.57
52,128042,凯中转债,1.00%,100.9,7.7,16.55,0,2.98,AA,5.236,4.159,128042,82.55
53,110033,国贸转债,1.04%,110.85,4.93,6.76,0,0.09,AA+,2.668,14.624,190033,82.39
54,110053,苏银转债,0.55%,105.54,1.64,12.37,0,2.17,AAA,5.855,200.000,未到转股期,82.08999999999999
55,113520,百合转债,1.51%,120.0,-1.19,-2.03,0,-0.67,AA-,5.512,5.100,未到转股期,82.03
56,110057,现代转债,0.39%,104.91,1.08,13.21,0,0.98,AAA,5.904,16.160,未到转股期,81.88
57,113533,参林转债,1.30%,109.71,4.29,8.47,0,0.54,AA,5.91,10.000,未到转股期,81.82000000000001
58,110043,无锡转债,0.53%,104.55,0.33,13.72,1,1.06,AA+,4.737,29.991,190043,81.73
59,128027,崇达转债,0.75%,107.8,-0.28,10.96,0,0.61,AA,4.611,7.591,128027,81.24000000000001
60,123024,岱勒转债,0.40%,97.85,1.72,21.4,0,3.11,A+,4.877,2.100,未到转股期,80.75
61,123021,万信转2,-0.33%,108.665,-0.67,10.7,0,1.5,AA,5.827,12.000,未到转股期,80.63499999999999
62,128038,利欧转债,2.57%,120.0,2.48,-0.29,1,-1.1,AA,4.879,1.952,128038,80.29
63,113020,桐昆转债,0.17%,117.39,-2.78,2.41,0,-0.68,AA+,5.542,38.000,未到转股期,80.2
64,113505,杭电转债,-0.54%,99.26,0.34,20.8,0,2.73,AA,4.833,7.767,191505,79.94
65,113511,千禾转债,1.93%,104.0,2.84,16.08,0,1.69,AA-,5.123,3.558,191511,79.92
66,113534,鼎胜转债,0.88%,95.22,3.13,25.04,0,3.35,AA,5.926,12.540,未到转股期,79.74000000000001
67,113525,台华转债,-0.50%,103.57,0.69,16.92,0,1.97,AA,5.616,5.330,未到转股期,79.51
68,110051,中天转债,0.72%,104.0,0.44,16.7,0,1.67,AA+,5.819,39.651,未到转股期,79.3
69,110040,生益转债,-0.13%,113.05,1.84,7.85,0,-0.55,AA+,4.551,17.613,190040,79.10000000000001
70,127005,长证转债,0.51%,110.8,5.2,10.2,0,-0.21,AAA,4.852,49.994,127005,79.0
71,113017,吉视转债,0.19%,99.19,1.69,21.83,0,2.36,AA+,4.644,15.592,191017,78.98
72,113011,光大转债,0.52%,109.3,0.0,11.74,0,0.0,AAA,3.863,300.000,191011,78.96000000000001
73,110041,蒙电转债,0.42%,110.93,0.69,10.55,0,-0.01,AAA,4.627,18.731,190041,78.52
74,128040,华通转债,0.15%,100.66,0.95,21.07,0,2.4,AA-,5.107,2.225,128040,78.27000000000001
75,113529,绝味转债,1.92%,118.61,6.59,3.16,0,-0.05,AA,5.849,10.000,未到转股期,78.23
76,128021,兄弟转债,0.00%,103.0,-1.91,19.02,1,1.54,AA,4.564,5.050,128021,77.98
77,113012,骆驼转债,0.23%,102.1,1.33,20.06,1,1.68,AA,3.882,5.096,191012,77.84
78,113531,百姓转债,1.55%,110.91,2.01,11.47,0,0.31,AA,4.896,3.270,未到转股期,77.62
79,128059,视源转债,2.17%,112.8,6.17,9.62,0,0.23,AA,5.849,9.420,未到转股期,77.58
80,128047,光电转债,1.28%,113.03,3.5,9.92,0,-0.5,AA+,5.504,13.000,未到转股期,77.05
81,110054,通威转债,3.54%,121.15,6.17,1.83,0,-0.81,AA+,5.868,50.000,未到转股期,77.02
82,113008,电气转债,0.39%,114.45,1.3,8.6,1,-3.24,AAA,1.745,44.688,191008,76.95
83,128019,久立转2,0.10%,105.1,2.48,18.41,0,1.1,AA,4.51,10.398,128019,76.49000000000001
84,110049,海尔转债,1.00%,119.79,2.7,3.99,0,-1.53,AAA,5.619,30.075,未到转股期,76.22
85,127010,平银转债,0.64%,117.35,0.62,6.65,0,0.1,AAA,5.715,260.000,未到转股期,76.0
86,113507,天马转债,6.67%,125.0,6.56,-0.51,1,-2.07,AA-,4.951,1.195,191507,75.51
87,110055,伊力转债,2.16%,109.95,1.75,14.64,0,0.86,AA,5.86,8.760,未到转股期,75.41
88,123025,精测转债,0.98%,106.33,0.01,18.72,0,1.79,AA-,5.896,3.750,未到转股期,74.95
89,128015,久其转债,-1.42%,96.15,0.0,29.48,1,3.95,AA,4.09,7.798,128015,74.36999999999999
90,113513,安井转债,3.35%,127.01,4.54,-1.19,0,-2.25,AA-,5.186,3.817,191513,74.17999999999999
91,127006,敖东转债,0.34%,101.645,1.31,24.2,0,1.35,AA+,4.855,24.127,127006,74.155
92,128045,机电转债,0.00%,108.999,1.56,16.94,0,0.17,AAA,5.312,20.998,128045,74.061
93,110042,航电转债,0.48%,114.49,1.68,11.89,0,-0.92,AAA,4.636,23.950,190042,73.62
94,128024,宁行转债,-0.08%,124.9,3.5,1.51,0,-2.97,AAA,4.584,66.762,128024,73.58999999999999
95,110048,福能转债,1.92%,110.7,-0.6,15.9,0,0.59,AA+,5.589,28.300,未到转股期,73.39999999999999
96,113522,旭升转债,1.31%,101.92,3.62,24.98,0,3.09,AA,5.551,4.200,未到转股期,73.1
97,123017,寒锐转债,1.18%,101.8,1.25,25.15,0,1.62,AA-,5.545,4.400,未到转股期,73.05000000000001
98,128061,启明转债,-0.05%,105.661,0.9,21.34,0,1.97,AA,5.893,10.450,未到转股期,72.999
99,113510,再升转债,0.25%,100.5,1.93,26.54,0,2.42,AA-,5.121,1.139,191510,72.96000000000001
100,113517,曙光转债,0.22%,112.9,-1.07,14.43,0,0.07,AA,5.255,11.175,191517,72.66999999999999
101,113518,顾家转债,0.92%,107.49,0.54,19.94,0,1.35,AA,5.353,10.971,191518,72.57000000000001
102,128051,光华转债,1.91%,99.36,1.39,28.67,0,2.86,AA-,5.611,2.493,未到转股期,71.97
103,110056,亨通转债,-0.41%,103.18,-0.66,25.25,0,1.91,AA+,5.871,17.330,未到转股期,71.57
104,128054,中宠转债,1.14%,103.999,3.16,24.61,0,1.88,A+,5.784,1.942,未到转股期,71.391
105,113504,艾华转债,-0.31%,103.98,1.23,24.63,1,1.35,AA,4.822,6.909,191504,71.39
106,113015,隆基转债,1.81%,126.49,2.84,2.28,0,-3.06,AA+,4.49,27.972,191015,71.23
107,113509,新泉转债,0.09%,100.58,1.09,28.55,1,2.02,AA,5.079,4.500,191509,70.87
108,128022,众信转债,-1.02%,99.223,2.2,30.32,1,2.39,AA,4.573,6.999,128022,70.457
109,113019,玲珑转债,0.51%,106.55,1.31,23.45,0,1.57,AA+,3.819,19.998,191019,70.0
110,113530,大丰转债,-0.42%,97.68,0.97,32.43,0,3.92,AA,5.89,6.300,未到转股期,69.88999999999999
111,128046,利尔转债,1.08%,103.2,1.68,27.17,0,1.76,AA,5.452,8.520,128046,69.63
112,113508,新凤转债,-0.07%,100.42,3.42,30.01,0,2.41,AA,4.973,21.524,191508,69.57
113,123006,东财转债,3.02%,131.351,1.97,-0.78,0,-3.72,AA,4.625,5.112,123006,69.429
114,128016,雨虹转债,1.14%,107.851,3.81,22.77,0,0.52,AA+,4.389,18.395,128016,69.379
115,113024,核建转债,0.30%,103.01,-0.12,28.03,0,1.12,AAA,5.923,29.960,未到转股期,68.96
