,bond_id,bond_nm,increase_rt,price,sincrease_rt,premium_rt,adj_scnt,ytm_rt,rating_cd,year_left,curr_iss_amt,convert_cd,sum
1,123018,溢利转债,0.03%,110.625,-0.41,-3.29,0,0.76,AA-,5.608,6.650,未到转股期,92.665
7,113526,联泰转债,-0.56%,113.13,-0.35,-1.72,0,-0.32,AA,5.699,3.900,未到转股期,88.59
11,128055,长青转2,0.10%,114.72,0.82,-1.72,0,0.12,AA,5.797,9.138,未到转股期,87.0
0,128050,钧达转债,2.18%,105.99,10.02,0.89,0,2.93,AA-,5.581,3.200,未到转股期,93.12
2,128053,尚荣转债,0.24%,107.42,-1.32,1.46,0,1.26,AA,5.762,7.500,未到转股期,91.12
17,127007,湖广转债,1.17%,110.0,2.82,3.71,1,0.65,AA+,5.129,13.276,127007,86.29
15,123013,横河转债,-0.22%,109.36,-1.52,4.07,0,1.25,A+,5.205,0.383,123013,86.57
8,128062,亚药转债,0.03%,106.672,-0.54,4.99,0,2.07,AA,5.89,9.650,未到转股期,88.33800000000001
21,110047,山鹰转债,0.13%,109.17,-1.7,5.08,0,1.52,AA+,5.529,23.000,未到转股期,85.75
23,128063,未来转债,5.80%,109.61,10.05,5.39,0,2.83,AA-,5.893,6.300,未到转股期,85.0
4,128049,华源转债,-0.70%,105.254,-2.71,5.53,0,1.76,AA-,5.545,4.000,未到转股期,89.216
16,123020,富祥转债,-0.35%,108.021,-0.81,5.68,0,2.03,AA-,5.803,4.200,未到转股期,86.299
28,113523,伟明转债,-0.34%,110.8,-2.34,5.72,0,0.73,AA,5.581,6.700,未到转股期,83.48
26,128025,特一转债,-0.53%,109.81,-0.93,5.77,1,0.1,AA-,4.567,3.394,128025,84.42
18,128057,博彦转债,-0.09%,107.0,0.46,6.75,0,1.67,AA-,5.814,5.758,未到转股期,86.25
3,128056,今飞转债,0.29%,101.24,1.76,8.07,0,3.29,A+,5.8,3.680,未到转股期,90.69
29,123001,蓝标转债,0.02%,108.622,-0.46,8.12,3,0.96,AA,2.6,1.890,123001,83.258
5,113514,威帝转债,0.19%,101.43,-0.72,9.37,0,2.32,A+,4.186,1.999,191514,89.19999999999999
TOTAL,,,,108.27077777777778,,4.10388888888889,,,,,,,
