,bond_id,bond_nm,increase_rt,price,sincrease_rt,premium_rt,adj_scnt,ytm_rt,rating_cd,year_left,curr_iss_amt,convert_cd,sum
18,128066,亚泰转债,0.56%,98.861,1.22,16.13,0,3.1,AA-,5.929,4.800,未到转股期,85.009
19,110058,永鼎转债,1.92%,99.03,1.83,15.99,0,2.65,AA,5.923,9.800,未到转股期,84.98
27,123024,岱勒转债,0.60%,99.088,3.17,18.27,0,2.85,A+,4.855,2.100,未到转股期,82.64200000000001
13,113025,明泰转债,1.51%,99.18,2.05,14.42,0,2.66,AA,5.907,18.390,未到转股期,86.39999999999999
14,128060,中装转债,0.68%,100.098,0.92,13.57,0,2.17,AA,5.868,5.250,未到转股期,86.332
26,113528,长城转债,0.64%,100.41,1.61,16.73,0,2.9,AA-,5.8,6.340,未到转股期,82.86
9,128064,司尔转债,1.22%,101.114,2.34,11.26,0,2.29,AA,5.904,8.000,未到转股期,87.62599999999999
29,127012,招路转债,0.54%,101.46,1.24,16.27,0,1.13,AAA,5.855,50.000,未到转股期,82.27000000000001
8,113527,维格转债,0.82%,101.83,0.95,10.15,0,3.09,AA,5.699,7.460,未到转股期,88.02
17,123023,迪森转债,1.56%,101.879,2.61,12.54,0,2.18,AA,5.852,6.000,未到转股期,85.58099999999999
22,123011,德尔转债,1.09%,101.899,1.23,14.33,0,2.87,AA-,5.181,5.556,123011,83.771
5,128056,今飞转债,0.75%,102.0,-0.31,9.23,0,3.15,A+,5.797,3.680,未到转股期,88.77
25,113524,奇精转债,1.40%,102.53,0.46,14.47,0,2.64,AA,5.589,3.300,未到转股期,83.0
15,113532,海环转债,1.20%,102.82,1.69,11.08,0,1.7,AA,5.885,4.600,未到转股期,86.10000000000001
10,113514,威帝转债,1.80%,103.26,1.82,9.35,0,1.88,A+,4.184,1.999,191514,87.39
24,123014,凯发转债,0.76%,105.903,0.65,11.08,0,0.81,A+,4.203,3.150,123014,83.017
21,113521,科森转债,1.78%,106.07,1.65,9.75,0,1.62,AA,5.512,6.100,未到转股期,84.18
3,128049,华源转债,1.18%,106.5,2.25,4.43,0,1.54,AA-,5.542,4.000,未到转股期,89.07
TOTAL,,,,101.88511111111112,,12.725000000000001,,,,,,,
