,bond_id,bond_nm,increase_rt,price,sincrease_rt,premium_rt,adj_scnt,ytm_rt,rating_cd,year_left,curr_iss_amt,convert_cd,sum
8,113514,威帝转债,-1.00%,100.49,-3.04,9.77,0,2.56,A+,4.17,1.999,191514,89.74000000000001
11,128062,亚药转债,-0.74%,104.9,-4.82,6.93,0,2.37,AA,5.874,9.650,未到转股期,88.16999999999999
12,128056,今飞转债,-0.02%,99.88,0.67,12.26,0,3.54,A+,5.784,3.680,未到转股期,87.86
19,123011,德尔转债,-1.16%,99.1,-1.05,14.99,0,3.45,AA-,5.167,5.556,123011,85.91000000000001
22,128050,钧达转债,-1.93%,103.469,-6.47,11.2,0,3.4,AA-,5.564,3.200,未到转股期,85.331
24,128060,中装转债,0.56%,98.71,0.19,16.21,0,2.43,AA,5.855,5.250,未到转股期,85.08000000000001
25,113528,长城转债,0.06%,98.63,1.04,16.56,0,3.24,AA-,5.786,6.340,未到转股期,84.81
29,123023,迪森转债,-0.18%,99.751,-0.63,16.82,0,2.56,AA,5.838,6.000,未到转股期,83.429
39,127003,海印转债,0.16%,101.77,2.34,17.69,2,3.97,AA,3.055,11.108,127003,80.54
41,113524,奇精转债,-0.43%,99.74,-2.69,19.88,0,3.17,AA,5.575,3.300,未到转股期,80.38000000000001
44,113016,小康转债,-0.64%,96.48,-0.52,23.38,1,3.21,AA,4.468,8.814,191016,80.14
48,128033,迪龙转债,-0.20%,99.8,-0.93,20.49,1,2.24,AA,4.608,5.199,128033,79.71000000000001
66,123024,岱勒转债,0.69%,98.688,0.51,25.45,0,2.95,A+,4.841,2.100,未到转股期,75.862
67,128044,岭南转债,-0.81%,99.98,-2.57,24.25,1,2.25,AA,5.241,6.594,128044,75.77
71,123019,中来转债,-0.15%,101.65,-0.47,22.84,0,3.72,AA-,5.775,10.000,未到转股期,75.50999999999999
74,113505,杭电转债,-0.37%,101.62,1.01,23.06,0,2.24,AA,4.797,7.767,191505,75.32
77,128018,时达转债,-0.60%,97.02,-1.57,27.93,1,3.08,AA,4.468,8.823,128018,75.05000000000001
99,123010,博世转债,-0.91%,100.5,-1.92,28.73,1,2.42,AA-,5.132,4.298,123010,70.77
TOTAL,,,,100.121,-1.1622222222222223,18.802222222222223,,2.933333333333333,,,,,
