,bond_id,bond_nm,increase_rt,price,sincrease_rt,premium_rt,adj_scnt,ytm_rt,rating_cd,year_left,pb,curr_iss_amt,convert_cd,sum
15,128062,亚药转债,0.55%,99.08,3.14,16.67,0,3.51,AA,5.674,2.88,9.65,未到转股期,88.4175
32,113528,长城转债,-0.26%,99.35,-1.05,20.45,0,3.22,AA-,5.586,1.94,6.34,未到转股期,85.3125
42,123004,铁汉转债,-0.22%,99.631,-1.22,22.39,1,2.4,AA,4.384,1.2,8.332,123004,83.5765
36,123023,迪森转债,-0.01%,99.8,-0.5,20.19,0,2.65,AA,5.638,1.37,6.0,未到转股期,85.0575
45,128044,岭南转债,-0.02%,99.813,-1.43,22.34,1,2.38,AA,5.041,1.63,6.593,128044,83.432
22,128056,今飞转债,0.00%,99.9,-0.86,17.8,0,3.67,A+,5.584,2.04,3.68,未到转股期,86.75
3,128070,智能转债,-0.09%,100.01,-0.46,9.15,0,2.91,A+,5.923,4.47,2.3,未到转股期,93.1275
14,128066,亚泰转债,0.26%,100.02,0.6,15.21,0,3.0,AA-,5.715,1.91,4.8,未到转股期,88.5725
33,113535,大业转债,-0.12%,100.17,-0.66,19.37,0,2.69,AA,4.773,2.01,5.0,未到转股期,85.3025
25,128050,钧达转债,-0.60%,100.2,-3.77,17.64,0,4.17,AA-,5.364,2.52,3.2,128050,86.57
13,128049,华源转债,-0.21%,100.313,-2.08,14.3,0,2.78,AA-,5.329,1.38,3.999,128049,88.96199999999999
26,127003,海印转债,0.01%,100.606,-0.39,17.37,2,4.32,AA,2.855,1.67,9.415,127003,86.3665
9,113514,威帝转债,-0.12%,100.7,0.0,12.02,0,2.54,A+,3.97,2.84,1.998,191514,90.285
6,113537,文灿转债,0.08%,100.91,0.55,9.84,0,3.37,AA-,5.86,1.94,8.0,未到转股期,91.71000000000001
18,128069,华森转债,-0.10%,101.3,-1.66,14.68,0,3.04,AA-,5.901,7.46,3.0,未到转股期,87.69
2,113027,华钰转债,0.10%,101.41,-0.52,6.87,0,2.24,AA,5.871,2.53,6.4,未到转股期,93.4375
37,113524,奇精转债,-0.50%,101.58,-4.28,18.04,0,2.94,AA,5.375,2.29,3.3,191524,84.89
44,128033,迪龙转债,0.66%,103.17,1.56,17.81,1,1.56,AA,4.408,2.25,5.199,128033,83.4725
TOTAL,,,,100.4423888888889,,16.23,,,,,,,,
