,bond_id,bond_nm,increase_rt,price,sincrease_rt,premium_rt,adj_scnt,ytm_rt,rating_cd,year_left,pb,curr_iss_amt,convert_cd,sum
0,113527,维格转债,0.83%,102.74,2.59,6.64,1,3.67,AA,4.452,0.92,7.457,191527,90.62
2,110058,永鼎转债,-0.53%,113.31,-0.72,3.27,1,0.3,AA,4.677,2.62,9.794,190058,83.42
5,128085,鸿达转债,-0.20%,109.2,-0.76,9.76,0,2.58,AA,5.348,1.36,24.259,128085,81.03999999999999
6,113576,起步转债,1.01%,108.1,6.53,10.94,0,2.18,AA-,5.66,2.84,5.2,未到转股期,80.96000000000001
8,113033,利群转债,0.90%,111.5,2.73,9.47,0,0.61,AA,5.636,1.33,18.0,未到转股期,79.03
17,113591,胜达转债,-0.19%,104.7,-0.83,17.82,0,2.72,AA-,5.885,3.71,5.5,未到转股期,77.47999999999999
18,128050,钧达转债,1.38%,116.59,1.18,6.21,1,1.37,AA-,4.332,2.19,3.199,128050,77.2
19,113568,新春转债,-0.23%,109.62,-0.46,13.44,0,2.41,AA-,5.564,1.4,3.3,未到转股期,76.94
27,110064,建工转债,0.75%,108.45,3.64,16.07,0,1.99,AA+,5.356,0.92,16.6,190064,75.47999999999999
48,128069,华森转债,-1.22%,114.094,-1.62,13.03,0,1.06,AA-,4.868,6.65,2.998,128069,72.876
53,113024,核建转债,1.87%,110.97,10.06,16.46,0,-0.25,AAA,4.655,1.57,29.957,191024,72.57
54,128087,孚日转债,-0.08%,103.82,-0.75,23.64,0,1.68,AA,5.351,1.24,6.499,128087,72.54
61,128081,海亮转债,-1.03%,107.979,-0.57,20.31,0,1.26,AA,5.279,1.8,31.5,128081,71.711
72,110070,凌钢转债,0.44%,104.67,-0.43,25.15,0,2.15,AA,5.671,0.82,4.4,未到转股期,70.18
83,113528,长城转债,-0.18%,105.86,1.57,25.02,0,2.39,AA-,4.553,1.83,6.339,191528,69.12
89,113505,杭电转债,-1.01%,106.31,0.5,24.84,0,1.58,AA,3.564,1.65,7.499,191505,68.85
104,128076,金轮转债,-0.22%,107.839,-0.71,26.13,0,1.33,AA-,5.175,1.16,2.139,128076,66.031
116,113017,吉视转债,-0.49%,102.56,0.88,32.7,0,2.08,AA+,3.375,1.02,15.591,191017,64.74
149,123004,铁汉转债,0.17%,101.47,1.03,37.36,1,2.43,AA,3.351,1.12,8.332,123004,61.17
154,113535,大业转债,-0.86%,104.47,3.46,35.22,0,2.17,AA,3.74,1.64,5.0,191535,60.31
160,128015,久其转债,-0.65%,103.474,-1.1,37.0,1,2.49,A+,2.822,5.55,7.796,128015,59.525999999999996
163,123023,迪森转债,-0.01%,100.188,1.62,40.78,0,3.08,AA,4.605,1.2,5.998,123023,59.032
168,128018,时达转债,-0.39%,103.192,-0.18,39.98,1,2.13,AA,3.236,1.28,8.822,128018,56.82800000000001
250,128062,亚药转债,-0.51%,79.421,-2.28,150.6,0,9.46,A-,4.641,4.54,9.643,128062,-30.021
TOTAL,,,,105.85529166666667,1.0575,26.743333333333336,,2.202916666666667,,,,,,
