,bond_id,bond_nm,increase_rt,price,sincrease_rt,premium_rt,adj_scnt,ytm_rt,rating_cd,year_left,pb,curr_iss_amt,convert_cd,sum
0,110072,广汇转债,1.45%,79.7,0.76,21.2,0,6.97,AA+,5.466,0.53,33.697,190072,109.7
1,128100,搜特转债,1.40%,79.0,1.12,26.57,1,8.38,AA,5.03,0.99,7.996,128100,107.715
2,127018,本钢转债,1.36%,79.91,2.99,29.66,0,9.68,AAA,5.329,0.57,67.976,127018,105.26
3,128127,文科转债,0.55%,91.689,1.76,6.34,0,5.38,AA-,5.471,0.9,9.5,128127,105.141
4,113595,花王转债,0.65%,88.49,-2.2,14.84,0,6.83,AA-,5.389,1.59,3.3,191595,104.09
5,113609,永安转债,1.76%,94.18,2.3,5.25,0,4.48,AA-,5.734,1.23,8.86,未到转股期,103.195
6,127027,靖远转债,0.34%,91.433,2.62,11.12,0,4.18,AA+,5.778,0.79,28.0,未到转股期,103.00699999999999
7,128085,鸿达转债,-2.42%,98.12,-1.27,-0.87,0,5.18,BB,4.797,1.38,14.796,128085,102.315
8,128087,孚日转债,0.34%,85.365,0.0,25.36,0,6.12,AA,4.8,1.03,6.499,128087,101.95500000000001
9,128066,亚泰转债,1.84%,94.373,3.62,9.82,1,5.6,AA-,4.132,1.4,4.798,128066,100.717
10,123089,九洲转2,1.00%,92.68,1.88,14.07,0,4.79,AA-,5.811,1.13,5.0,未到转股期,100.285
11,113601,塞力转债,0.55%,95.84,-0.66,7.77,0,4.5,AA-,5.474,1.92,5.43,191601,100.27499999999999
12,113600,新星转债,1.09%,91.2,2.47,18.99,0,6.24,AA-,5.452,1.75,5.95,191600,99.30499999999999
13,113610,灵康转债,-0.09%,95.91,-1.15,9.59,0,4.22,AA-,5.753,4.03,5.25,未到转股期,99.295
14,113033,利群转债,1.03%,98.82,0.15,4.64,0,3.15,AA,5.085,1.26,17.998,191033,98.86000000000001
15,113039,嘉泽转债,0.41%,97.96,1.23,6.62,0,2.71,AA,5.482,1.86,13.0,191039,98.73
16,113568,新春转债,0.33%,93.33,0.42,16.14,0,6.14,AA-,5.014,1.17,3.299,191568,98.6
17,123085,万顺转2,0.17%,92.52,2.1,18.55,0,3.64,AA-,5.781,0.96,9.0,未到转股期,98.205
18,113557,森特转债,0.79%,98.34,0.32,7.14,0,4.38,AA-,4.803,2.09,5.999,191557,98.09
19,128140,润建转债,1.90%,99.15,2.89,5.81,0,2.68,AA,5.77,1.85,10.9,未到转股期,97.945
20,128139,祥鑫转债,2.36%,98.16,7.06,8.17,0,3.78,AA-,5.753,3.01,6.47,未到转股期,97.75500000000001
21,123097,美力转债,0.49%,101.5,2.52,1.5,0,3.17,A+,5.91,2.59,3.0,未到转股期,97.75
22,113534,鼎胜转债,2.34%,94.79,3.31,15.39,1,4.91,AA,4.107,1.42,11.986,191534,97.51499999999999
23,123080,海波转债,0.92%,96.28,-0.34,12.79,0,4.97,A+,5.756,2.49,2.45,未到转股期,97.325
24,113549,白电转债,1.77%,96.85,1.18,11.69,0,3.75,AA,4.71,1.38,8.799,191549,97.305
25,110074,精达转债,2.53%,99.78,5.06,6.0,0,3.06,AA,5.468,1.85,7.87,190074,97.22
26,113591,胜达转债,1.81%,97.94,3.32,9.8,1,4.34,AA-,5.334,2.35,5.497,191591,97.16
27,113570,百达转债,0.25%,93.8,0.44,19.34,0,4.29,A+,5.027,1.95,2.8,191570,96.53
28,128143,锋龙转债,0.44%,96.15,1.83,14.73,0,4.2,A+,5.858,3.72,2.45,未到转股期,96.485
29,123084,高澜转债,0.48%,95.168,1.99,17.0,0,4.48,A+,5.778,3.29,2.8,未到转股期,96.332
30,110070,凌钢转债,1.78%,98.51,3.81,10.57,0,3.64,AA,5.118,0.83,2.886,190070,96.205
31,123069,金诺转债,0.23%,98.58,2.46,10.46,0,4.55,AA-,5.627,2.33,3.68,未到转股期,96.19
32,128081,海亮转债,0.11%,100.111,0.0,7.85,0,3.02,AA,4.729,1.83,31.5,128081,95.964
33,123004,铁汉转债,1.14%,97.6,0.0,12.98,1,4.01,AA,2.8,1.53,8.032,123004,95.91000000000001
34,123028,清水转债,2.28%,91.28,6.2,26.26,0,7.16,AA-,4.301,1.14,4.555,123028,95.59
35,123088,威唐转债,0.89%,89.295,4.42,30.67,0,5.61,A+,5.792,3.27,3.01,未到转股期,95.37
36,123010,博世转债,0.52%,94.208,0.74,20.98,1,5.51,AA-,3.348,1.54,4.296,123010,95.302
37,128013,洪涛转债,0.63%,103.431,1.74,2.55,3,4.38,AA-,1.411,0.95,11.985,128013,95.294
38,123077,汉得转债,0.77%,93.899,2.74,21.69,0,5.29,AA,5.734,2.08,9.37,未到转股期,95.256
39,123068,弘信转债,1.72%,100.5,2.22,8.69,0,3.46,AA-,5.625,3.99,5.7,未到转股期,95.155
40,128120,联诚转债,0.94%,94.188,1.5,21.51,0,4.46,A,5.378,1.84,2.6,128120,95.057
