,bond_id,bond_nm,increase_rt,price,sincrease_rt,premium_rt,adj_scnt,ytm_rt,rating_cd,year_left,pb,curr_iss_amt,convert_cd,sum
151,127023,华菱转2,-6.49%,118.08,-8.93,-3.22,0,-1.25,AAA,5.636,1.23,40.0,未到转股期,83.53
165,123074,隆利转债,-0.72%,119.732,1.31,-3.07,0,0.63,AA-,5.652,5.06,3.245,未到转股期,81.803
149,110048,福能转债,1.39%,117.07,4.78,-1.49,0,-0.88,AA+,3.759,1.16,28.297,190048,83.67500000000001
83,128051,光华转债,1.44%,110.87,2.54,-0.33,1,0.94,AA-,3.781,4.16,2.473,128051,89.295
120,113541,荣晟转债,0.97%,113.46,1.09,0.72,1,0.32,AA-,4.384,2.08,2.696,191541,86.18
3,128085,鸿达转债,-0.67%,93.749,-1.1,1.8,0,6.23,BB,4.786,1.29,14.246,128085,105.351
68,123049,维尔转债,-0.90%,108.49,1.66,1.82,0,2.85,AA-,5.107,1.48,9.17,123049,90.60000000000001
87,123073,同和转债,1.30%,110.21,2.59,1.9,1,1.92,A+,5.647,4.38,3.6,未到转股期,88.84
129,128141,旺能转债,-1.11%,113.398,-3.07,2.06,0,0.26,AA,5.786,1.74,14.0,未到转股期,85.572
17,123097,美力转债,0.86%,103.02,1.62,2.15,0,2.92,A+,5.899,2.62,3.0,未到转股期,95.905
81,123063,大禹转债,-0.27%,109.4,-0.75,2.16,0,2.79,AA-,5.397,2.63,6.379,123063,89.52
168,128057,博彦转债,0.84%,117.258,-0.2,2.45,0,-0.21,AA-,4.0,1.82,5.096,128057,81.51700000000001
133,123052,飞鹿转债,-0.12%,113.549,0.46,2.57,0,2.26,A+,5.252,2.6,1.769,123052,85.166
7,123089,九洲转2,-1.66%,98.15,-3.54,2.91,0,3.75,AA-,5.8,1.32,5.0,未到转股期,100.395
79,123051,今天转债,0.89%,108.562,1.31,3.17,0,2.44,A+,5.249,3.12,2.795,123051,89.85300000000001
62,128040,华通转债,0.28%,107.3,0.19,3.2,0,1.43,AA-,3.277,7.79,2.222,128040,91.10000000000001
37,128093,百川转债,-0.04%,104.71,0.17,3.3,0,4.71,AA-,4.836,2.19,5.196,128093,93.64
116,128090,汽模转2,3.07%,111.63,5.84,3.74,0,0.61,AA,4.816,1.63,3.105,128090,86.5
59,113612,永冠转债,0.97%,106.32,-0.23,4.12,0,2.35,AA-,5.762,2.39,5.2,未到转股期,91.62
32,123082,北陆转债,0.53%,103.743,1.5,4.33,1,2.87,A+,5.762,2.75,5.0,未到转股期,94.092
18,113039,嘉泽转债,1.13%,101.89,0.58,4.53,0,1.96,AA,5.471,1.97,12.999,191039,95.845
70,123007,道氏转债,0.30%,107.209,-0.07,4.55,1,1.03,AA-,2.816,2.76,3.039,123007,90.51599999999999
20,128139,祥鑫转债,1.92%,102.0,1.31,4.61,0,3.08,AA-,5.742,3.23,6.47,未到转股期,95.695
35,123087,明电转债,0.73%,103.644,1.29,4.84,1,2.8,AA-,5.781,3.34,6.73,未到转股期,93.93599999999999
12,113033,利群转债,0.00%,98.89,-0.3,5.35,0,3.14,AA,5.074,1.26,17.998,191033,98.435
100,113536,三星转债,0.45%,109.18,0.75,6.24,0,1.22,AA,4.238,2.55,1.491,191536,87.69999999999999
49,128039,三力转债,0.64%,103.964,1.25,6.72,1,1.73,AA-,3.26,1.73,2.025,128039,92.676
6,113609,永安转债,1.20%,95.48,2.59,6.77,0,4.23,AA-,5.723,1.23,8.86,未到转股期,101.13499999999999
77,113561,正裕转债,8.29%,106.65,10.02,6.86,0,2.17,A+,4.825,2.42,1.502,191561,89.91999999999999
15,128081,海亮转债,-0.68%,99.9,-0.55,6.91,0,3.07,AA,4.718,1.84,31.5,128081,96.645
171,113542,好客转债,0.72%,115.24,2.64,7.08,0,-0.07,AA,4.408,2.14,6.027,191542,81.22
58,113565,宏辉转债,0.63%,104.75,-0.61,7.22,0,2.44,AA-,4.981,3.35,2.254,191565,91.64
73,123045,雷迪转债,2.13%,106.0,2.1,7.23,0,2.46,A+,5.019,2.23,1.661,123045,90.385
74,123062,三超转债,0.58%,105.942,2.36,7.57,0,2.35,A,5.395,2.76,1.95,123062,90.27300000000001
21,113591,胜达转债,0.86%,100.1,2.77,8.5,1,3.91,AA-,5.323,2.43,5.497,191591,95.65
45,110074,精达转债,-1.02%,102.85,-4.83,8.64,0,2.49,AA,5.458,1.86,7.869,190074,92.83000000000001
121,113593,沪工转债,0.35%,109.51,-0.56,8.69,0,2.01,A+,5.375,5.45,3.999,191593,86.145
69,128105,长集转债,0.66%,105.09,0.77,8.71,0,1.88,AA,5.096,2.19,7.999,128105,90.55499999999999
170,128114,正邦转债,-0.53%,114.39,-0.79,8.73,0,0.15,AA+,5.285,3.3,15.976,128114,81.245
105,123002,国祯转债,0.22%,108.351,1.32,8.86,1,0.15,AA,2.723,1.54,2.522,123002,87.219
139,128106,华统转债,0.67%,110.834,-0.52,8.98,0,0.42,AA,5.099,2.56,5.367,128106,84.676
