,bond_id,bond_nm,increase_rt,price,sincrease_rt,premium_rt,adj_scnt,ytm_rt,rating_cd,pb,year_left,curr_iss_amt,convert_cd,sum
1,128053,尚荣转债,-0.69%,118.56,0.32,-7.62,0,-0.48,AA,1.94,5.841,7.500,未到转股期,89.06
25,110052,贵广转债,-0.12%,121.24,-1.55,-3.27,0,-0.32,AA+,2.46,5.893,16.000,未到转股期,82.03
0,128057,博彦转债,-5.82%,113.6,-1.7,-2.88,0,0.6,AA-,2.26,5.893,5.758,未到转股期,89.28
4,123018,溢利转债,-0.82%,115.846,-2.82,-2.58,0,-0.09,AA-,2.04,5.688,6.650,未到转股期,86.734
16,123020,富祥转债,-2.65%,119.2,-3.13,-2.11,0,0.28,AA-,4.51,5.882,4.200,未到转股期,82.91
8,110047,山鹰转债,-5.56%,116.42,-5.04,-1.8,0,0.32,AA+,1.38,5.608,23.000,未到转股期,85.38
7,113527,维格转债,-0.84%,115.14,-2.08,-1.29,0,0.83,AA,1.30,5.781,7.460,未到转股期,86.15
32,113512,景旺转债,-0.89%,119.45,-1.0,-0.26,0,-1.03,AA,6.01,5.23,4.780,191512,80.81
28,128039,三力转债,0.17%,118.4,0.73,0.21,1,-1.34,AA-,2.47,5.151,4.653,128039,81.39
10,128049,华源转债,-1.08%,114.91,-3.36,0.8,0,0.12,AA-,2.01,5.625,4.000,未到转股期,84.29
26,123014,凯发转债,-0.80%,117.289,0.75,1.26,0,-1.61,A+,2.46,4.285,3.151,123014,81.451
33,128021,兄弟转债,-6.87%,118.0,-4.74,1.33,1,-1.47,AA,2.42,4.625,5.172,128021,80.67
29,113519,长久转债,-0.83%,117.02,-0.79,1.6,0,0.55,AA,3.44,5.57,7.000,未到转股期,81.38000000000001
24,113526,联泰转债,-0.42%,116.14,-1.33,1.68,0,-0.78,AA,2.84,5.778,3.900,未到转股期,82.17999999999999
34,127007,湖广转债,0.65%,117.16,-0.11,2.42,1,-0.6,AA+,0.96,5.208,13.767,127007,80.42
30,128034,江银转债,-0.36%,115.874,0.16,2.82,2,-1.17,AA+,1.10,4.786,17.591,128034,81.30600000000001
15,128040,华通转债,0.00%,113.899,0.0,3.01,0,-0.1,AA-,4.14,5.167,2.238,128040,83.091
11,113521,科森转债,-1.50%,113.28,-3.34,3.04,0,0.39,AA,2.33,5.595,6.100,未到转股期,83.67999999999999
TOTAL,,,,116.74600000000002,,-0.2022222222222223,,,,,,,,
