,bond_id,bond_nm,increase_rt,price,sincrease_rt,premium_rt,adj_scnt,ytm_rt,rating_cd,year_left,curr_iss_amt,convert_cd,sum
2,128060,中装转债,-0.22%,104.799,-0.16,4.97,0,1.35,AA,5.945,5.250,未到转股期,90.231
22,113016,小康转债,0.45%,106.11,0.48,9.88,1,0.97,AA,4.559,8.814,191016,84.01
24,128018,时达转债,0.56%,106.194,0.14,10.34,1,0.95,AA,4.559,8.823,128018,83.466
17,127003,海印转债,-0.01%,107.181,-0.66,7.54,2,2.11,AA,3.145,11.108,127003,85.279
26,113017,吉视转债,0.34%,107.82,0.0,9.3,0,0.49,AA+,4.699,15.594,191017,82.88000000000001
14,113524,奇精转债,0.01%,108.29,-0.07,5.86,0,1.6,AA,5.666,3.300,未到转股期,85.85
20,128050,钧达转债,-0.08%,108.3,-0.54,7.5,0,2.49,AA-,5.655,3.200,未到转股期,84.2
1,123023,迪森转债,-0.72%,108.582,-3.01,-0.45,0,1.04,AA,5.929,6.000,未到转股期,91.86800000000001
4,123011,德尔转债,0.60%,108.647,0.55,3.07,0,1.55,AA-,5.258,5.556,123011,88.283
3,128056,今飞转债,0.48%,108.727,0.97,1.7,0,1.97,A+,5.874,3.680,未到转股期,89.573
0,123024,岱勒转债,8.80%,108.8,3.4,-1.05,0,0.85,A+,4.932,2.100,未到转股期,92.25
23,128033,迪龙转债,-0.02%,109.072,-1.18,6.94,1,0.24,AA,4.699,5.199,128033,83.988
27,113505,杭电转债,0.11%,109.37,-1.2,8.04,0,0.65,AA,4.888,7.799,191505,82.59
16,113528,长城转债,-0.20%,109.45,0.04,4.9,0,1.33,AA-,5.877,6.340,未到转股期,85.64999999999999
12,123019,中来转债,0.57%,109.523,0.75,4.46,0,2.32,AA-,5.866,10.000,未到转股期,86.01700000000001
7,113514,威帝转债,0.68%,109.75,0.48,2.8,0,0.38,A+,4.26,1.999,191514,87.45
15,128044,岭南转债,0.45%,110.5,0.0,3.68,1,0.28,AA,5.332,6.594,128044,85.82
19,128025,特一转债,-0.46%,112.384,-1.29,2.8,1,-0.41,AA-,4.641,3.394,128025,84.816
TOTAL,,,,108.52772222222222,,5.126666666666668,,,,,,,
