,bond_id,bond_nm,increase_rt,price,sincrease_rt,premium_rt,adj_scnt,ytm_rt,rating_cd,year_left,curr_iss_amt,convert_cd,sum
0,123023,迪森转债,-0.27%,109.08,-1.68,-1.33,0,0.96,AA,5.929,6.000,未到转股期,92.25
1,123024,岱勒转债,8.91%,108.906,2.83,-0.42,0,0.83,A+,4.932,2.100,未到转股期,91.514
2,128060,中装转债,0.00%,105.03,0.64,4.36,0,1.31,AA,5.945,5.250,未到转股期,90.61
3,113514,威帝转债,0.72%,109.79,2.07,1.24,0,0.37,A+,4.26,1.999,191514,88.97
4,128057,博彦转债,0.30%,113.34,0.79,-1.78,0,0.64,AA-,5.888,5.758,未到转股期,88.44
5,123018,溢利转债,0.76%,116.28,1.09,-4.5,0,-0.15,AA-,5.682,6.650,未到转股期,88.22
6,128056,今飞转债,2.21%,110.597,3.19,1.22,0,1.67,A+,5.874,3.680,未到转股期,88.183
7,113527,维格转债,0.03%,115.11,0.4,-3.04,0,0.84,AA,5.775,7.460,未到转股期,87.93
8,123011,德尔转债,1.31%,109.42,1.28,3.05,0,1.41,AA-,5.258,5.556,123011,87.53
9,128049,华源转债,0.34%,115.0,0.9,-2.4,0,0.11,AA-,5.619,4.000,未到转股期,87.4
10,113521,科森转债,0.66%,113.85,2.19,-0.88,0,0.29,AA,5.589,6.100,未到转股期,87.03
11,113524,奇精转债,-0.34%,107.91,0.13,5.27,0,1.67,AA,5.666,3.300,未到转股期,86.82000000000001
12,113526,联泰转债,-0.88%,114.4,0.0,-1.11,0,-0.52,AA,5.773,3.900,未到转股期,86.71
13,123019,中来转债,1.61%,110.65,3.58,2.65,0,2.13,AA-,5.866,10.000,未到转股期,86.69999999999999
14,128053,尚荣转债,2.52%,122.0,2.48,-8.68,0,-0.98,AA,5.836,7.500,未到转股期,86.68
15,110047,山鹰转债,0.12%,117.0,0.75,-2.79,0,0.23,AA+,5.603,23.000,未到转股期,85.79
16,127003,海印转债,0.29%,107.5,0.33,6.8,2,2.01,AA,3.145,11.108,127003,85.7
17,128044,岭南转债,0.44%,110.48,-0.21,3.87,1,0.28,AA,5.332,6.594,128044,85.64999999999999
18,113016,小康转债,0.75%,106.42,2.42,8.12,1,0.91,AA,4.559,8.814,191016,85.46
19,128033,迪龙转债,-0.51%,108.541,-0.86,6.07,1,0.35,AA,4.699,5.199,128033,85.38900000000001
20,113528,长城转债,-0.19%,109.46,-0.28,5.24,0,1.33,AA-,5.877,6.340,未到转股期,85.30000000000001
21,113519,长久转债,-0.15%,116.23,0.43,-1.37,0,0.68,AA,5.564,7.000,未到转股期,85.14
22,128050,钧达转债,0.11%,108.505,0.59,6.49,0,2.46,AA-,5.655,3.200,未到转股期,85.00500000000001
23,128025,特一转债,-0.26%,112.61,-1.23,2.94,1,-0.45,AA-,4.641,3.394,128025,84.45
24,128018,时达转债,0.38%,105.999,0.42,9.83,1,1.0,AA,4.559,8.823,128018,84.171
25,123004,铁汉转债,0.35%,114.805,2.03,1.12,1,-0.87,AA,4.674,8.348,123004,84.07499999999999
26,113017,吉视转债,0.68%,108.19,1.71,7.82,0,0.42,AA+,4.699,15.594,191017,83.99000000000001
27,113505,杭电转债,0.14%,109.4,-0.54,7.34,0,0.64,AA,4.888,7.799,191505,83.25999999999999
28,110052,贵广转债,1.25%,123.71,1.41,-6.87,0,-0.67,AA+,5.888,16.000,未到转股期,83.16000000000001
29,128040,华通转债,0.00%,113.899,0.0,3.01,0,-0.1,AA-,5.162,2.238,128040,83.091
30,113513,安井转债,0.53%,114.1,1.26,3.08,0,-0.17,AA-,5.241,4.999,191513,82.82000000000001
31,128034,江银转债,0.00%,117.26,0.55,0.15,2,-1.42,AA+,4.781,17.591,128034,82.58999999999999
32,128043,东音转债,0.00%,114.09,0.0,3.42,1,0.24,AA-,5.299,2.714,128043,82.49
33,128021,兄弟转债,-1.05%,117.0,-2.52,0.96,1,-1.29,AA,4.619,5.124,128021,82.04
34,123010,博世转债,0.65%,108.8,0.9,9.24,1,0.8,AA-,5.222,4.298,123010,81.96000000000001
35,128042,凯中转债,-0.26%,108.02,0.78,10.27,0,1.6,AA,5.29,4.159,128042,81.71000000000001
36,128048,张行转债,-0.59%,118.0,-0.56,0.85,0,-0.58,AA+,5.578,25.000,未到转股期,81.15
37,128051,光华转债,-0.28%,106.0,1.46,13.18,0,1.64,AA-,5.666,2.493,未到转股期,80.82
38,127007,湖广转债,-0.51%,118.69,0.32,0.53,1,-0.86,AA+,5.203,13.767,127007,80.78
39,110043,无锡转债,-0.14%,110.8,-0.44,8.53,1,-0.19,AA+,4.792,29.991,190043,80.67
