,bond_id,bond_nm,increase_rt,price,sincrease_rt,premium_rt,adj_scnt,ytm_rt,rating_cd,year_left,pb,curr_iss_amt,convert_cd,sum
16,113521,科森转债,-0.53%,116.66,-1.35,-0.59,0,-0.26,AA,4.921,2.49,5.933,191521,83.7825
36,113550,常汽转债,3.29%,118.0,5.42,3.88,0,0.55,AA-,5.923,1.21,9.92,未到转股期,79.09
38,123019,中来转债,0.59%,116.491,-0.82,6.18,0,1.38,AA-,5.197,1.86,9.999,123019,78.874
50,128057,博彦转债,0.51%,117.601,1.15,6.92,0,0.0,AA-,5.219,1.87,5.711,128057,77.209
55,128055,长青转2,0.37%,118.003,0.25,7.42,0,-0.42,AA,5.203,1.31,9.136,128055,76.432
30,128077,华夏转债,0.57%,113.8,0.63,7.85,0,1.05,AA-,5.836,2.73,7.9,未到转股期,80.3125
17,128081,海亮转债,2.05%,109.6,0.51,8.83,0,0.86,AA,5.934,2.28,31.5,未到转股期,83.7775
57,113530,大丰转债,3.04%,116.99,5.02,9.05,0,0.81,AA,5.277,3.67,6.299,191530,76.22250000000001
4,113549,白电转债,1.54%,104.8,0.82,9.81,0,1.62,AA,5.915,1.66,8.8,未到转股期,87.8425
85,110056,亨通转债,1.67%,118.81,2.85,12.23,1,-0.61,AA+,5.258,2.35,17.328,190056,72.0175
75,110047,山鹰转债,2.44%,117.22,5.14,12.5,0,0.15,AA+,4.934,1.12,22.995,190047,73.405
11,128053,尚荣转债,0.95%,105.2,1.34,13.06,0,1.83,AA,5.167,1.37,7.498,128053,85.005
71,113515,高能转债,0.03%,115.5,1.07,13.67,0,-0.5,AA,4.611,2.07,7.092,191515,74.2475
31,113537,文灿转债,0.61%,108.88,1.51,14.94,0,2.15,AA-,5.482,1.86,8.0,191537,79.915
67,113008,电气转债,-0.08%,113.32,-0.4,15.34,1,-4.13,AAA,1.132,1.24,44.682,191008,75.17500000000001
78,127013,创维转债,0.52%,115.502,-0.69,15.5,0,0.46,AA,5.332,3.41,10.4,127013,72.873
73,128048,张行转债,1.60%,114.2,3.0,15.57,0,-0.06,AA+,4.91,1.02,24.998,128048,74.1225
41,128071,合兴转债,1.05%,108.85,0.74,16.57,0,1.01,AA,5.666,1.62,5.96,未到转股期,78.72250000000001
TOTAL,,,,113.85705555555556,,10.484999999999998,,,,,,,,
