,bond_id,bond_nm,increase_rt,price,sincrease_rt,premium_rt,adj_scnt,ytm_rt,rating_cd,year_left,pb,curr_iss_amt,convert_cd,sum
85,113596,城地转债,2.77%,83.14,5.96,55.18,0,6.03,AA-,5.436,1.49,12.0,191596,89.27
31,123088,威唐转债,2.70%,87.99,2.57,34.35,0,5.86,A+,5.819,3.14,3.01,未到转股期,94.83500000000001
8,113595,花王转债,3.92%,88.78,7.26,19.0,0,6.73,AA-,5.416,1.54,3.3,191595,101.72
1,128085,鸿达转债,4.95%,89.0,4.15,-0.6,0,7.35,BB,4.825,1.25,17.475,128085,111.3
16,113600,新星转债,2.06%,89.1,2.51,24.05,0,6.67,AA-,5.479,1.64,5.95,191600,98.875
140,128132,交建转债,2.09%,89.331,8.26,52.47,0,5.12,AA,5.57,2.76,8.5,未到转股期,84.434
86,123076,强力转债,1.74%,89.581,5.38,42.4,0,5.09,AA-,5.748,3.56,8.5,未到转股期,89.219
65,123028,清水转债,2.64%,90.027,5.17,37.89,0,7.46,AA-,4.329,1.03,4.555,123028,91.02799999999999
87,123023,迪森转债,2.65%,90.5,3.91,40.96,0,6.17,AA,4.082,1.12,5.294,123023,89.02
56,123054,思特转债,2.95%,91.0,3.31,33.39,0,5.78,AA-,5.304,2.23,2.71,123054,92.305
5,113609,永安转债,1.63%,91.15,1.8,9.19,0,5.06,AA-,5.762,1.15,8.86,未到转股期,104.255
125,110058,永鼎转债,3.44%,91.18,4.65,45.89,1,5.86,AA,4.153,1.57,2.613,190058,85.875
9,128066,亚泰转债,1.66%,91.39,3.59,17.68,1,6.4,AA-,4.159,1.26,4.798,128066,99.77
11,123089,九洲转2,2.00%,91.69,3.3,17.18,0,4.96,AA-,5.838,1.09,5.0,未到转股期,99.72
131,128118,瀛通转债,3.48%,92.0,2.95,44.98,0,5.56,AA-,5.364,1.93,3.0,128118,85.51
158,113535,大业转债,1.34%,92.99,0.91,49.17,0,6.38,AA,3.216,1.29,4.999,191535,82.42500000000001
55,113528,长城转债,1.08%,92.99,1.57,29.41,0,6.17,AA-,4.03,1.55,6.339,191528,92.305
10,113534,鼎胜转债,2.97%,93.25,4.9,13.97,1,5.3,AA,4.134,1.42,11.986,191534,99.765
42,113604,多伦转债,2.45%,93.27,5.35,26.79,0,4.23,AA-,5.647,2.98,6.4,未到转股期,93.33500000000001
12,128143,锋龙转债,2.09%,93.3,4.19,14.29,0,4.73,A+,5.885,3.62,2.45,未到转股期,99.555
38,123077,汉得转债,1.36%,93.35,2.41,25.85,0,5.37,AA,5.762,2.0,9.37,未到转股期,93.72500000000001
109,113530,大丰转债,0.86%,93.39,2.85,39.12,0,6.82,AA,4.099,2.06,6.297,191530,87.05
180,113519,长久转债,1.39%,93.68,3.31,52.26,0,6.85,AA,3.718,1.64,6.969,191519,80.19
22,123080,海波转债,1.95%,93.702,1.85,18.82,0,5.45,A+,5.784,2.3,2.45,未到转股期,96.888
19,113568,新春转债,2.10%,93.77,1.7,16.69,0,6.0,AA-,5.041,1.17,3.299,191568,97.885
30,128082,华锋转债,3.68%,93.777,4.66,22.29,1,5.68,A+,4.789,1.2,3.45,128082,95.078
40,113570,百达转债,2.11%,94.04,2.96,24.59,0,4.21,A+,5.055,1.87,2.8,191570,93.66499999999999
