,bond_id,bond_nm,increase_rt,price,sincrease_rt,premium_rt,adj_scnt,ytm_rt,rating_cd,year_left,pb,curr_iss_amt,convert_cd,sum
1,128128,齐翔转2,0.86%,109.9,1.58,8.32,0,0.85,AA,5.778,1.7,29.9,未到转股期,81.78
10,113601,塞力转债,0.79%,108.21,0.96,15.92,0,2.04,AA-,5.781,2.18,5.43,未到转股期,75.87
12,113039,嘉泽转债,0.41%,105.54,1.28,18.85,0,1.22,AA,5.792,1.96,13.0,未到转股期,75.60999999999999
14,123028,清水转债,0.68%,116.507,2.32,8.03,0,0.99,AA-,4.608,1.71,4.555,123028,75.463
15,128085,鸿达转债,0.75%,110.0,1.62,14.68,0,2.56,AA,5.104,1.28,24.257,128085,75.32
20,110070,凌钢转债,0.89%,102.35,3.15,22.91,0,2.68,AA,5.425,0.81,4.4,190070,74.74000000000001
30,123004,铁汉转债,0.55%,110.2,1.61,16.04,1,-0.12,AA,3.107,1.45,8.032,123004,73.75999999999999
31,128120,联诚转债,1.30%,111.9,2.06,14.82,0,1.02,A,5.685,2.75,2.6,未到转股期,73.28
32,113033,利群转债,0.16%,109.78,0.77,16.95,0,0.93,AA,5.392,1.27,18.0,191033,73.27
42,113568,新春转债,0.76%,112.16,0.12,15.26,0,2.08,AA-,5.321,1.43,3.299,191568,72.58
65,110064,建工转债,0.24%,104.5,0.79,24.69,0,2.85,AA+,5.112,0.82,16.598,190064,70.81
71,128100,搜特转债,0.84%,103.953,4.37,26.14,1,2.34,AA,5.337,1.31,7.999,128100,69.907
73,113528,长城转债,-0.09%,108.36,0.14,21.99,0,1.97,AA-,4.31,1.91,6.339,191528,69.65
91,128087,孚日转债,0.45%,101.905,1.23,30.48,0,2.14,AA,5.107,1.17,6.499,128087,67.615
116,128081,海亮转债,0.17%,106.185,0.75,28.74,0,1.67,AA,5.036,1.62,31.5,128081,65.075
122,128026,众兴转债,0.40%,104.903,0.77,30.7,0,1.67,AA-,3.093,1.27,9.194,128026,64.39699999999999
127,113505,杭电转债,0.67%,105.45,1.05,30.72,0,1.96,AA,3.321,1.5,7.499,191505,63.83
129,128018,时达转债,0.31%,105.83,0.17,30.65,1,1.10,AA,2.992,1.39,8.822,128018,63.52
135,128132,交建转债,0.56%,99.0,2.7,37.92,0,3.00,AA,5.849,3.54,8.5,未到转股期,63.08
139,113600,新星转债,0.88%,106.48,1.73,30.76,0,3.02,AA-,5.759,2.05,5.95,未到转股期,62.75999999999999
151,113024,核建转债,0.11%,104.28,2.59,35.17,0,1.18,AAA,4.411,1.25,29.957,191024,60.55
158,113017,吉视转债,-0.08%,100.09,1.45,40.6,0,3.07,AA+,3.132,0.94,15.591,191017,59.309999999999995
179,113591,胜达转债,0.12%,103.45,1.88,40.58,0,3.06,AA-,5.641,2.89,5.5,未到转股期,55.97
183,113527,维格转债,0.12%,92.46,1.88,52.55,1,6.59,AA,4.208,0.58,7.456,191527,54.99000000000001
247,128015,久其转债,0.14%,100.95,2.59,72.74,1,3.73,A+,2.578,4.47,7.796,128015,26.310000000000002
263,128062,亚药转债,0.51%,76.751,4.01,167.05,0,10.90,A-,4.397,4.33,9.641,128062,-43.801000000000016
TOTAL,,,,104.65746153846155,1.6757692307692307,32.817692307692305,,,,,,,,
