,bond_id,bond_nm,increase_rt,price,sincrease_rt,premium_rt,adj_scnt,ytm_rt,rating_cd,year_left,pb,curr_iss_amt,convert_cd,sum
0,128085,鸿达转债,1.13%,116.2,4.56,0.76,0,1.25,AA,5.86,1.81,24.27,未到转股期,83.23
1,128087,孚日转债,1.15%,110.0,4.15,12.11,0,0.52,AA,5.863,1.57,6.5,未到转股期,80.9175
2,113536,三星转债,-0.34%,113.43,-0.48,7.65,0,0.3,AA,5.312,3.06,1.916,191536,80.8325
3,128082,华锋转债,-0.06%,106.54,1.18,16.93,0,2.41,A+,5.825,1.68,3.52,未到转股期,80.76249999999999
4,128076,金轮转债,0.29%,104.8,1.23,19.32,0,1.73,AA-,5.688,1.22,2.14,未到转股期,80.71000000000001
5,128079,英联转债,-0.92%,130.39,-1.86,-14.3,0,-1.78,A+,5.707,6.3,2.14,未到转股期,80.33500000000001
6,128049,华源转债,-0.63%,109.505,-1.76,13.74,0,1.08,AA-,4.808,1.49,3.999,128049,80.19
7,123030,九洲转债,0.31%,106.725,1.58,18.35,0,2.26,AA-,5.534,0.87,3.08,未到转股期,79.5125
8,128025,特一转债,-1.22%,116.46,-2.35,5.84,1,-1.55,AA-,3.83,3.1,2.992,128025,79.16000000000001
9,128091,新天转债,-0.16%,115.9,-2.56,6.89,0,0.6,A+,5.899,2.94,1.77,未到转股期,78.93249999999999
10,113541,荣晟转债,0.22%,105.11,1.25,21.46,0,1.78,AA-,5.458,2.01,3.3,191541,78.795
11,123034,通光转债,0.03%,102.561,1.24,25.14,0,2.6,A+,5.742,2.15,2.97,未到转股期,78.58399999999999
12,128039,三力转债,3.18%,122.2,7.15,-0.91,1,-2.38,AA-,4.334,2.3,2.56,128039,78.4825
13,123026,中环转债,5.87%,115.22,10.02,8.52,0,-0.85,AA-,4.342,2.56,2.329,123026,78.39
14,113546,迪贝转债,-0.06%,102.4,0.27,25.7,0,3.05, A+,5.71,2.35,2.3,未到转股期,78.32499999999999
15,128066,亚泰转债,0.16%,106.878,-0.08,20.11,1,1.97,AA-,5.195,1.5,4.799,128066,78.0395
16,128069,华森转债,-2.55%,116.002,-6.77,8.05,0,0.72,AA-,5.381,7.52,3.0,128069,77.96050000000001
17,113514,威帝转债,-0.66%,105.89,-0.47,22.28,0,1.42,A+,3.449,2.72,0.965,191514,77.4
18,128090,汽模转2,-0.56%,132.3,0.48,-12.43,0,-2.36,AA,5.89,2.17,4.71,未到转股期,77.0225
19,113559,永创转债,-1.49%,108.76,-4.84,19.71,0,1.57,AA-,5.877,3.14,5.12,未到转股期,76.4575
20,128040,华通转债,-0.94%,110.3,-1.12,17.98,0,0.55,AA-,4.351,3.34,2.223,128040,76.215
